winsize,ref,test_winsize,imageFile,index,n,numerosity,allposis,centralposis,extraposis,protectzonetype,convexhull,occupancyarea,averageeccentricity,averagespacing,density,p_trials.thisRepN,p_trials.thisTrialN,p_trials.thisN,p_trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_18.keys,key_resp_18.rt,key_resp_19.keys,key_resp_19.rt,key_resp_26.keys,key_resp_26.rt,p_img.started,p_img.stopped,text_14.started,text_14.stopped,responseN,key_resp_4.keys,key_resp_4.rt,text_20.started,text_20.stopped,key_resp_20.keys,key_resp_20.rt,key_resp_20.started,key_resp_20.stopped,key_resp_22.keys,key_resp_22.rt,key_resp_5.keys,key_resp_5.rt,image_2.started,image_2.stopped,blank.started,blank.stopped,text_21.started,text_21.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_23.keys,key_resp_23.rt,image.started,image.stopped,text_31.started,text_31.stopped,text_32.started,text_32.stopped,key_resp_2.keys,key_resp_2.rt,thanksm.started,thanksm.stopped,participant,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,12.553336099954322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,19,Female,2021_Nov_30_1301,triplet,2021.2.3,59.90050524236408,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.0570371999638155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,19,Female,2021_Nov_30_1301,triplet,2021.2.3,59.90050524236408,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,25.80339150002692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,19,Female,2021_Nov_30_1301,triplet,2021.2.3,59.90050524236408,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.8861835000570863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,19,Female,2021_Nov_30_1301,triplet,2021.2.3,59.90050524236408,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.27868510002736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,19,Female,2021_Nov_30_1301,triplet,2021.2.3,59.90050524236408,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.10027519997675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,19,Female,2021_Nov_30_1301,triplet,2021.2.3,59.90050524236408,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8717543999664485,space,1.056587899918668,1591.5423748999601,1591.7489414999727,1591.7489414999727,None,,space,27.273103400017135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,19,Female,2021_Nov_30_1301,triplet,2021.2.3,59.90050524236408,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620.9205742999911,None,space,1.0604546000249684,1620.9205742999911,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,19,Female,2021_Nov_30_1301,triplet,2021.2.3,59.90050524236408,
0.6,c6ref.xlsx,c6t.xlsx,stims/blackd82.png,82,3570,78,"[(60.0, 200.0), (140.0, -160.0), (-210.0, -160.0), (170.0, 110.0), (-250.0, 120.0), (-160.0, 170.0), (-140.0, -10.0), (-270.0, -40.0), (100.0, 20.0), (230.0, 10.0), (-10.0, -120.0), (-110.0, -50.0), (60.0, -100.0), (140.0, -30.0), (260.0, 220.0), (-90.0, -130.0), (-10.0, 160.0), (-60.0, 110.0), (100.0, 90.0), (-170.0, 50.0), (20.0, -220.0), (250.0, -200.0), (10.0, 110.0), (-100.0, 60.0), (80.0, -60.0), (-90.0, -210.0), (63.177677900318116, 169.05259129268416), (73.24133200356113, 246.48152269235248), (122.26478082270339, -138.74301067143637), (148.61281426378395, -181.03382324606372), (-171.8260655788998, -139.777415165924), (-236.00467752585814, -190.58765869501508), (136.02836452126672, 84.99029863309852), (209.90711973673666, 139.2807094419614), (-224.44895301665298, 102.54617764175045), (-286.01086543416113, 134.3904487639539), (-133.30250034435292, 144.461422089452), (-173.66208716415238, 189.26577117654705), (-121.64079909218088, -17.985821264026107), (-161.03594694864665, -18.99818117597065), (-223.0279693115511, -36.20450598342379), (-299.7296393641563, -36.69407535531266), (90.09015735795413, 15.51405728492962), (120.61938999991355, 26.28964102422937), (180.71297034580272, -3.421397122049033), (251.42504822976275, 31.9569281375284), (0.27709919953804274, -109.34583646744181), (-7.712173315724259, -141.1935520302966), (-84.66424202412432, -38.21310315142374), (-134.8255117951694, -53.304595012612694), (48.29288608392344, -75.10505262308165), (69.07868827244495, -113.8625946057982), (113.24206588027288, -29.38827123332091), (168.87998247100637, -38.61882003167414), (232.05575129718767, 194.01634892559488), (307.00719146676386, 237.03593320299726), (-65.92109315924526, -113.84833337974449), (-106.64995334777473, -155.07695363323282), (-16.769274595913483, 134.03031248811288), (1.6294772375606428, 179.5890092889801), (-63.63582140326171, 94.42234639756487), (-75.3850968640426, 132.61113985933292), (84.07661974108825, 84.12584143072519), (119.44246585845738, 103.9689829990431), (-136.8617277680583, 39.315047497849186), (-200.3632179412451, 52.843052228803565), (26.249546462604695, -177.80062964315664), (21.235322191604567, -266.8726760282075), (214.25728270941525, -148.5237581964832), (294.98573764166076, -232.73905683333805), (14.350926220488185, 93.32751853032954), (9.651188743954474, 122.71005132020933), (-84.99121418442778, 52.18761158877268), (-114.12270917554179, 73.55747889584507), (68.08620941277206, -49.759166458971094), (88.72236304046552, -75.73763704397194), (-68.18231051721028, -192.63203770268996), (-103.18555866678042, -257.28346011438686)]","[(60.0, 200.0), (140.0, -160.0), (-210.0, -160.0), (170.0, 110.0), (-250.0, 120.0), (-160.0, 170.0), (-140.0, -10.0), (-270.0, -40.0), (100.0, 20.0), (230.0, 10.0), (-10.0, -120.0), (-110.0, -50.0), (60.0, -100.0), (140.0, -30.0), (260.0, 220.0), (-90.0, -130.0), (-10.0, 160.0), (-60.0, 110.0), (100.0, 90.0), (-170.0, 50.0), (20.0, -220.0), (250.0, -200.0), (10.0, 110.0), (-100.0, 60.0), (80.0, -60.0), (-90.0, -210.0)]","[(63.177677900318116, 169.05259129268416), (73.24133200356113, 246.48152269235248), (122.26478082270339, -138.74301067143637), (148.61281426378395, -181.03382324606372), (-171.8260655788998, -139.777415165924), (-236.00467752585814, -190.58765869501508), (136.02836452126672, 84.99029863309852), (209.90711973673666, 139.2807094419614), (-224.44895301665298, 102.54617764175045), (-286.01086543416113, 134.3904487639539), (-133.30250034435292, 144.461422089452), (-173.66208716415238, 189.26577117654705), (-121.64079909218088, -17.985821264026107), (-161.03594694864665, -18.99818117597065), (-223.0279693115511, -36.20450598342379), (-299.7296393641563, -36.69407535531266), (90.09015735795413, 15.51405728492962), (120.61938999991355, 26.28964102422937), (180.71297034580272, -3.421397122049033), (251.42504822976275, 31.9569281375284), (0.27709919953804274, -109.34583646744181), (-7.712173315724259, -141.1935520302966), (-84.66424202412432, -38.21310315142374), (-134.8255117951694, -53.304595012612694), (48.29288608392344, -75.10505262308165), (69.07868827244495, -113.8625946057982), (113.24206588027288, -29.38827123332091), (168.87998247100637, -38.61882003167414), (232.05575129718767, 194.01634892559488), (307.00719146676386, 237.03593320299726), (-65.92109315924526, -113.84833337974449), (-106.64995334777473, -155.07695363323282), (-16.769274595913483, 134.03031248811288), (1.6294772375606428, 179.5890092889801), (-63.63582140326171, 94.42234639756487), (-75.3850968640426, 132.61113985933292), (84.07661974108825, 84.12584143072519), (119.44246585845738, 103.9689829990431), (-136.8617277680583, 39.315047497849186), (-200.3632179412451, 52.843052228803565), (26.249546462604695, -177.80062964315664), (21.235322191604567, -266.8726760282075), (214.25728270941525, -148.5237581964832), (294.98573764166076, -232.73905683333805), (14.350926220488185, 93.32751853032954), (9.651188743954474, 122.71005132020933), (-84.99121418442778, 52.18761158877268), (-114.12270917554179, 73.55747889584507), (68.08620941277206, -49.759166458971094), (88.72236304046552, -75.73763704397194), (-68.18231051721028, -192.63203770268996), (-103.18555866678042, -257.28346011438686)]",radial,128.92,1144.05,12.21,16.8,0.0682,,,,,0,0,0,0,,,,,0,0,0,1,,,,,,,,,,,,,,,space,0.9610035999212414,,,,,50,,,,,,,,,n,1.2229997999966145,space,0.7945834000129253,1656.8958472999511,1657.090973299928,1657.090973299928,None,1657.331318499986,None,space,1.6188818999798968,1657.331318499986,None,space,1.702911700005643,space,0.791817499906756,1662.8909458999988,None,,,,,,,,,11,19,Female,2021_Nov_30_1301,triplet,2021.2.3,59.90050524236408,
0.6,c6ref.xlsx,c6t.xlsx,stims/blackd123.png,123,1398,78,"[(-270.0, 140.0), (-260.0, -140.0), (150.0, 120.0), (90.0, 50.0), (50.0, -190.0), (-150.0, 220.0), (70.0, 190.0), (230.0, -160.0), (-180.0, -50.0), (120.0, -30.0), (-80.0, -180.0), (290.0, 70.0), (-120.0, 80.0), (110.0, -90.0), (-260.0, 10.0), (190.0, 0.0), (-60.0, 110.0), (-110.0, 20.0), (-90.0, -70.0), (-50.0, 220.0), (270.0, 210.0), (70.0, 120.0), (20.0, -120.0), (-10.0, 140.0), (-40.0, -100.0), (60.0, -80.0), (-251.97883329878826, 171.61413123913064), (-274.3310021395288, 89.97755455467427), (-257.22042313041834, -99.34723288855068), (-268.1276904037859, -177.3499604489499), (165.83229038198044, 97.56208941964967), (127.22679604818246, 130.87040809261183), (97.92302182124197, 37.83759143638157), (81.17559735730546, 64.81132186810922), (20.060502926726258, -208.83107473265227), (85.36825110565815, -189.41058955188612), (-126.46791451712281, 258.01309206165666), (-175.0961358277585, 185.31837781619527), (114.10289853406377, 169.9896681645723), (43.19794484964166, 193.7310963981838), (219.8306034233621, -195.89932805080701), (253.66499311037106, -103.56652889502155), (-194.18867029224106, -6.638304037322143), (-168.19636417342363, -69.89859373026479), (121.50232915057981, -54.76363879650201), (129.34095247923244, -9.313628183678489), (-102.72917867429948, -168.5568868579202), (-60.529145438602086, -194.75107162588043), (288.81697662042984, 10.483278643466349), (258.0121304396588, 106.90644013007665), (-108.74542237317553, 105.40109909043713), (-139.91568514792982, 68.94960861634343), (93.7132042742134, -111.1391912618398), (114.61597113280453, -72.95834844343224), (-256.44122160079934, 66.69791887722596), (-266.0796049817716, -33.20759907776966), (192.0600176521947, -24.2561149926575), (177.6390200036815, 23.04248079883922), (-38.14477792554071, 112.53038764282077), (-81.67664912172096, 98.43294457271942), (-113.37732308706336, 42.049990851928186), (-110.5224240499302, 2.0604431179931453), (-99.48946310278018, -57.65873540477054), (-77.11249624841798, -87.53130858329482), (-31.2036794848637, 242.148188411779), (-78.19580728234237, 220.03282649802145), (293.2229025429749, 156.63840207116326), (222.4645204324191, 240.12793679109961), (79.76508549834374, 104.06205843404146), (60.19983427722836, 135.0486746449653), (6.66563808471011, -118.96798775434198), (43.17206246658989, -109.76984886691261), (13.447404994213187, 133.98668230616647), (-35.2955943791752, 142.1938492941456), (-55.685320008215, -99.99306321699166), (-17.388748297168462, -102.98071286874804), (57.249167798088436, -92.83202435788442), (71.36964192334509, -66.67217660314208)]","[(-270.0, 140.0), (-260.0, -140.0), (150.0, 120.0), (90.0, 50.0), (50.0, -190.0), (-150.0, 220.0), (70.0, 190.0), (230.0, -160.0), (-180.0, -50.0), (120.0, -30.0), (-80.0, -180.0), (290.0, 70.0), (-120.0, 80.0), (110.0, -90.0), (-260.0, 10.0), (190.0, 0.0), (-60.0, 110.0), (-110.0, 20.0), (-90.0, -70.0), (-50.0, 220.0), (270.0, 210.0), (70.0, 120.0), (20.0, -120.0), (-10.0, 140.0), (-40.0, -100.0), (60.0, -80.0)]","[(-251.97883329878826, 171.61413123913064), (-274.3310021395288, 89.97755455467427), (-257.22042313041834, -99.34723288855068), (-268.1276904037859, -177.3499604489499), (165.83229038198044, 97.56208941964967), (127.22679604818246, 130.87040809261183), (97.92302182124197, 37.83759143638157), (81.17559735730546, 64.81132186810922), (20.060502926726258, -208.83107473265227), (85.36825110565815, -189.41058955188612), (-126.46791451712281, 258.01309206165666), (-175.0961358277585, 185.31837781619527), (114.10289853406377, 169.9896681645723), (43.19794484964166, 193.7310963981838), (219.8306034233621, -195.89932805080701), (253.66499311037106, -103.56652889502155), (-194.18867029224106, -6.638304037322143), (-168.19636417342363, -69.89859373026479), (121.50232915057981, -54.76363879650201), (129.34095247923244, -9.313628183678489), (-102.72917867429948, -168.5568868579202), (-60.529145438602086, -194.75107162588043), (288.81697662042984, 10.483278643466349), (258.0121304396588, 106.90644013007665), (-108.74542237317553, 105.40109909043713), (-139.91568514792982, 68.94960861634343), (93.7132042742134, -111.1391912618398), (114.61597113280453, -72.95834844343224), (-256.44122160079934, 66.69791887722596), (-266.0796049817716, -33.20759907776966), (192.0600176521947, -24.2561149926575), (177.6390200036815, 23.04248079883922), (-38.14477792554071, 112.53038764282077), (-81.67664912172096, 98.43294457271942), (-113.37732308706336, 42.049990851928186), (-110.5224240499302, 2.0604431179931453), (-99.48946310278018, -57.65873540477054), (-77.11249624841798, -87.53130858329482), (-31.2036794848637, 242.148188411779), (-78.19580728234237, 220.03282649802145), (293.2229025429749, 156.63840207116326), (222.4645204324191, 240.12793679109961), (79.76508549834374, 104.06205843404146), (60.19983427722836, 135.0486746449653), (6.66563808471011, -118.96798775434198), (43.17206246658989, -109.76984886691261), (13.447404994213187, 133.98668230616647), (-35.2955943791752, 142.1938492941456), (-55.685320008215, -99.99306321699166), (-17.388748297168462, -102.98071286874804), (57.249167798088436, -92.83202435788442), (71.36964192334509, -66.67217660314208)]",tangential,119.39,1005.7,12.41,16.97,0.0776,,,,,0,0,0,0,,,,,0,1,1,42,,,,,,,,,,,,,,,space,0.9277210000436753,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,1673.131424000021,None,,,,,,,,,11,19,Female,2021_Nov_30_1301,triplet,2021.2.3,59.90050524236408,
