reference,test_blockOrder,blockOrder,imageFile,num,index,n,winsize,numerosity,allposis,centralposis,extraposis,perceptpairs,protectzonetype,convexhull,occupancyarea,averageeccentricity,averagespacing,density,display_i,p_trials.thisRepN,p_trials.thisTrialN,p_trials.thisN,p_trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_18.keys,key_resp_18.rt,key_resp_19.keys,key_resp_19.rt,key_resp_26.keys,key_resp_26.rt,p_img.started,p_img.stopped,text_14.started,text_14.stopped,responseN,key_resp_4.keys,key_resp_4.rt,text_20.started,text_20.stopped,key_resp_20.keys,key_resp_20.rt,key_resp_20.started,key_resp_20.stopped,key_resp_22.keys,key_resp_22.rt,key_resp_5.keys,key_resp_5.rt,image_2.started,image_2.stopped,blank.started,blank.stopped,text_21.started,text_21.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_23.keys,key_resp_23.rt,image.started,image.stopped,text_31.started,text_31.stopped,text_32.started,text_32.stopped,key_resp_2.keys,key_resp_2.rt,thanksm.started,thanksm.stopped,participant,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,23.090769900009036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,Male,2021_Dec_15_0822,uniform_mix,2021.2.3,60.00744092344708,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.21415850007906556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,Male,2021_Dec_15_0822,uniform_mix,2021.2.3,60.00744092344708,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5758126000873744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,Male,2021_Dec_15_0822,uniform_mix,2021.2.3,60.00744092344708,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.49527009995654225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,Male,2021_Dec_15_0822,uniform_mix,2021.2.3,60.00744092344708,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.3293396001681685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,Male,2021_Dec_15_0822,uniform_mix,2021.2.3,60.00744092344708,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,38.666922400239855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,Male,2021_Dec_15_0822,uniform_mix,2021.2.3,60.00744092344708,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5782322003506124,space,1.8997197998687625,1015.9051898997277,1016.0784148997627,1016.0784148997627,None,,space,2.423267100006342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,Male,2021_Dec_15_0822,uniform_mix,2021.2.3,60.00744092344708,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1019.6459233998321,None,space,0.8837680001743138,1019.6459233998321,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,Male,2021_Dec_15_0822,uniform_mix,2021.2.3,60.00744092344708,
c6_black_ref.xlsx,c6_black_t.xlsx,c6_black.xlsx,stims/blackref7.png,52,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,space,2.636069799773395,,,,,,,,,,,,,,n,7.119529100134969,space,31.245421700179577,1062.8743214998394,1063.0513610001653,1063.0513610001653,None,1063.3009075997397,None,space,6.948061799630523,1063.3009075997397,None,space,14.132476000115275,,,,,,,,,,,,,10,20,Male,2021_Dec_15_0822,uniform_mix,2021.2.3,60.00744092344708,
c6_black_ref.xlsx,c6_black_t.xlsx,c6_black.xlsx,stims/blackref10.png,73,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,,,space,1.3715630997903645,,,,,,,,,,,,,,n,0.4340337999165058,space,0.8645624001510441,1088.2835610997863,1088.4526943000965,1088.4526943000965,None,1088.727307499852,None,space,4.4330249996855855,1088.727307499852,None,space,0.6919002002105117,,,,,,,,,,,,,10,20,Male,2021_Dec_15_0822,uniform_mix,2021.2.3,60.00744092344708,
