reference,test_blockOrder,blockOrder,imageFile,num,index,n,winsize,numerosity,allposis,centralposis,extraposis,perceptpairs,protectzonetype,convexhull,occupancyarea,averageeccentricity,averagespacing,density,display_i,p_trials.thisRepN,p_trials.thisTrialN,p_trials.thisN,p_trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_18.keys,key_resp_18.rt,key_resp_19.keys,key_resp_19.rt,key_resp_26.keys,key_resp_26.rt,p_img.started,p_img.stopped,text_14.started,text_14.stopped,responseN,key_resp_4.keys,key_resp_4.rt,text_20.started,text_20.stopped,key_resp_20.keys,key_resp_20.rt,key_resp_20.started,key_resp_20.stopped,key_resp_22.keys,key_resp_22.rt,key_resp_5.keys,key_resp_5.rt,image_2.started,image_2.stopped,blank.started,blank.stopped,text_21.started,text_21.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_23.keys,key_resp_23.rt,image.started,image.stopped,text_31.started,text_31.stopped,text_32.started,text_32.stopped,key_resp_2.keys,key_resp_2.rt,thanksm.started,thanksm.stopped,participant,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,14.513851599767804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,20,Female,2021_Dec_14_1359,uniform_mix,2021.2.3,59.77704354153201,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.29284900007769465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,20,Female,2021_Dec_14_1359,uniform_mix,2021.2.3,59.77704354153201,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.21877619996666908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,20,Female,2021_Dec_14_1359,uniform_mix,2021.2.3,59.77704354153201,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.17794669978320599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,20,Female,2021_Dec_14_1359,uniform_mix,2021.2.3,59.77704354153201,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.19829290034249425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,20,Female,2021_Dec_14_1359,uniform_mix,2021.2.3,59.77704354153201,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,20.736006000079215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,20,Female,2021_Dec_14_1359,uniform_mix,2021.2.3,59.77704354153201,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5677367998287082,space,1.8066165000200272,277.73560689995065,277.9101745998487,277.9101745998487,None,,space,0.8296437999233603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,20,Female,2021_Dec_14_1359,uniform_mix,2021.2.3,59.77704354153201,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.43315109983087,None,space,0.47948059998452663,279.43315109983087,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,20,Female,2021_Dec_14_1359,uniform_mix,2021.2.3,59.77704354153201,
c4_white_ref.xlsx,c4_white_t.xlsx,c4_white.xlsx,stims/whiteref4.png,44,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,space,0.46827160008251667,,,,,,,,,,,,,,n,27.380901100113988,space,2.7295329002663493,311.7425009999424,311.9188521998003,311.9188521998003,None,312.17469500005245,None,space,0.7286601001396775,312.17469500005245,None,space,0.508700099773705,,,,,,,,,,,,,7,20,Female,2021_Dec_14_1359,uniform_mix,2021.2.3,59.77704354153201,
c4_white_ref.xlsx,c4_white_t.xlsx,c4_white.xlsx,stims/whiteref5.png,49,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,,,space,0.6483849999494851,,,,,,,,,,,,,,n,0.8559670001268387,space,0.8244402999989688,316.98561509978026,317.1693277996965,317.1693277996965,None,317.4200682998635,None,space,0.6681615998968482,317.4200682998635,None,space,1.506370899733156,,,,,,,,,,,,,7,20,Female,2021_Dec_14_1359,uniform_mix,2021.2.3,59.77704354153201,
