reference,test_blockOrder,blockOrder,imageFile,num,index,n,winsize,numerosity,allposis,centralposis,extraposis,perceptpairs,protectzonetype,convexhull,occupancyarea,averageeccentricity,averagespacing,density,display_i,p_trials.thisRepN,p_trials.thisTrialN,p_trials.thisN,p_trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_18.keys,key_resp_18.rt,key_resp_19.keys,key_resp_19.rt,key_resp_26.keys,key_resp_26.rt,p_img.started,p_img.stopped,text_14.started,text_14.stopped,responseN,key_resp_4.keys,key_resp_4.rt,text_20.started,text_20.stopped,key_resp_20.keys,key_resp_20.rt,key_resp_20.started,key_resp_20.stopped,key_resp_22.keys,key_resp_22.rt,key_resp_5.keys,key_resp_5.rt,image_2.started,image_2.stopped,blank.started,blank.stopped,text_21.started,text_21.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_23.keys,key_resp_23.rt,image.started,image.stopped,text_31.started,text_31.stopped,text_32.started,text_32.stopped,key_resp_2.keys,key_resp_2.rt,thanksm.started,thanksm.stopped,participant,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,22.76595970010385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,Female,2021_Dec_13_1400,uniform_mix,2021.2.3,59.93762883321603,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.897487800102681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,Female,2021_Dec_13_1400,uniform_mix,2021.2.3,59.93762883321603,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2949788998812437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,Female,2021_Dec_13_1400,uniform_mix,2021.2.3,59.93762883321603,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.16504309978336096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,Female,2021_Dec_13_1400,uniform_mix,2021.2.3,59.93762883321603,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.16976779978722334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,Female,2021_Dec_13_1400,uniform_mix,2021.2.3,59.93762883321603,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6680844998918474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,Female,2021_Dec_13_1400,uniform_mix,2021.2.3,59.93762883321603,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.927679100073874,space,1.974410000257194,361.0301943998784,361.2013715999201,361.2013715999201,None,,space,3.63544230023399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,Female,2021_Dec_13_1400,uniform_mix,2021.2.3,59.93762883321603,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.48716109991074,None,space,1.0657357997260988,366.48716109991074,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,Female,2021_Dec_13_1400,uniform_mix,2021.2.3,59.93762883321603,
c6_mix_ref.xlsx,c6_mix_t.xlsx,c6_mix.xlsx,stims/contrastref7.png,52,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,space,0.7701376997865736,,,,,,,,,,,,,,n,20.261811000294983,space,0.8600856000557542,390.7673466000706,390.94101259997115,390.94101259997115,None,391.18665749998763,None,space,3.479088599793613,391.18665749998763,None,space,1.009396799840033,,,,,,,,,,,,,2,21,Female,2021_Dec_13_1400,uniform_mix,2021.2.3,59.93762883321603,
c6_mix_ref.xlsx,c6_mix_t.xlsx,c6_mix.xlsx,stims/contrastref10.png,73,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,,,space,0.5482454998418689,,,,,,,,,,,,,,n,0.2311424002982676,space,0.7109647002071142,398.33546039974317,398.5063897999935,398.5063897999935,None,398.76371520012617,None,space,0.5258515998721123,398.76371520012617,None,space,0.6836732998490334,,,,,,,,,,,,,2,21,Female,2021_Dec_13_1400,uniform_mix,2021.2.3,59.93762883321603,
c6_mix_ref.xlsx,c6_mix_t.xlsx,c6_mix.xlsx,stims/contrastref9.png,44,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,space,0.4765210999175906,,,,,,,,,,,,,,n,0.16508869966492057,space,0.41433609975501895,402.1992947999388,402.37466310011223,402.37466310011223,None,402.6352599998936,None,space,0.23083060001954436,402.6352599998936,None,space,0.4301379998214543,,,,,,,,,,,,,2,21,Female,2021_Dec_13_1400,uniform_mix,2021.2.3,59.93762883321603,
c6_mix_ref.xlsx,c6_mix_t.xlsx,c6_mix.xlsx,stims/contrastref6.png,59,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,space,0.44867199985310435,,,,,,,,,,,,,,n,1.52080769976601,space,0.37672819988802075,406.78320189984515,406.9528123997152,406.9528123997152,None,407.22889619972557,None,space,0.8436687998473644,407.22889619972557,None,space,1.400301800109446,,,,,,,,,,,,,2,21,Female,2021_Dec_13_1400,uniform_mix,2021.2.3,59.93762883321603,
c6_mix_ref.xlsx,c6_mix_t.xlsx,c6_mix.xlsx,stims/contrastref8.png,66,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,,,,,,space,0.43703449983149767,,,,,,,,,,,,,,n,1.3276933999732137,space,0.7191420001909137,413.19770699972287,413.3701976998709,413.3701976998709,None,413.6317611997947,None,space,0.8822963000275195,413.6317611997947,None,space,1.360750500112772,,,,,,,,,,,,,2,21,Female,2021_Dec_13_1400,uniform_mix,2021.2.3,59.93762883321603,
